STDR_YEAR,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,INDUTY_LCLAS_CODE,INDUTY_MLSFC_CODE,INDUTY_LCLAS_NM,INDUTY_MLSFC_NM,PRCSS_ENTRPRS_SE_CODE,PRCSS_ENTRPRS_SE,PDSMLPZ_SCTN_CODE,PDSMLPZ_SCTN,IEM_NM,TOT_ENTRPRS_CO,TOTAMT,AVRG_AM,FSTLTN_AM,REGIST_DE,OPERTOR_NM
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,부채총계,1,15216834,15216834,15216834,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,영업이익,1,-2176223,-2176223,-2176223,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,유동부채,1,9379335,9379335,9379335,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,이자비용,1,954487,954487,954487,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,자본총계,1,11150905,11150905,11150905,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,자산총계,1,26367739,26367739,26367739,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,당기순이익,1,-2834934,-2834934,-2834934,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,비유동부채,1,5837499,5837499,5837499,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,영업외비용,1,1761628,1761628,1761628,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,영업외수익,1,1003289,1003289,1003289,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,매출채권처분손실,1,22104,22104,22104,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,03,중기업,10,10년 이상 20년 미만,법인세차감전순손익,1,-2934562,-2934562,-2934562,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,급여,1,42000,42000,42000,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,매출액,1,83429,83429,83429,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,자본금,1,100000,100000,100000,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,부채총계,1,226075,226075,226075,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,영업이익,1,-185735,-185735,-185735,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,유동부채,1,226075,226075,226075,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,이자비용,1,7621,7621,7621,2020-10-19,KEDSYS
2010,서울,금천구,시흥1동,C,C29,제조업,기타 기계 및 장비 제조업,04,소기업,2,2년 이상 5년 미만,자본총계,1,-29296,-29296,-29296,2020-10-19,KEDSYS
